x,theta
-4.881810145655452,-0.02435883226211888
-4.878996978091162,-0.005017676835692209
-4.879844581647863,0.00365906333269872
-4.878438199024952,-0.012468360623945962
-4.871750186507517,-0.022824860957694648
-4.877090909090911,-0.006114854381823909
-4.876810251355349,0.006909722752858061
-4.875415463041635,-0.036874619845700396
-4.882585858585861,-0.06359560952342225
-4.86383951814609,-5.492415198693479e-05
-4.420976515712269,-0.011281764207455414
-4.418993591265134,-0.01041197191530241
-4.415390685841858,-0.025269712738402728
-4.420461007347086,-0.024418253310119598
-4.421171752259901,0.001513511999327477
-4.424363507368831,0.001366502646791945
-4.421114432260349,-0.0008293667710332908
-4.420777675155036,-0.016413635380161384
-4.4258161086348125,0.002689546634715878
-4.424864184008765,-0.0017294922604960128
-3.9666260779220797,-0.019137752032808653
-3.9699518142801433,-0.0009969386729022922
-3.970327272727275,-0.0027738601914437666
-3.9661896639945446,-0.032147506777566504
-3.9659589442815277,-0.01883311374864216
-3.966993185032792,0.00011206648827499777
-3.9718906832298178,-0.0028079101668085915
-3.967595034910787,-0.016131441917411227
-3.968208767881867,0.014990964645145599
-3.9695797395771133,-0.0051891978981444264
-3.967633959429002,-0.02102547695551049
-3.5107088629788756,-0.015929481983527394
-3.5141960227272757,-0.015768699116994744
-3.5132316233384966,-0.019576658449880435
-3.5152988177741564,-0.01707412397714969
-3.5104868355688055,-0.03792535591556545
-3.5126844497607688,-0.026691868913570005
-3.513872944461684,-0.017566322862090145
-3.5156170925848373,-0.021548803223575552
-3.5130868391186967,-0.07362341361324809
-3.511750424731006,-0.01476015432629918
-3.5109533799533823,-0.02212786671469802
-3.0575658192466415,-0.053341769653878934
-3.0550646720368264,-0.04991864200410756
-3.0600389610389636,-0.03723598337836309
-3.0542479338843003,-0.04687200278965675
-3.058241408498395,-0.07417127129611645
-3.059124529739514,-0.014015928631931018
-3.0556411084385,-0.04949162664553963
-3.061511716802396,-0.008393667164567686
-3.0544589630318564,-0.05878631974085535
-3.0607928221859733,-0.007148756170396453
-3.0585906040268473,-0.0863221707640962
-3.060185179526358,-0.03557714718838301
-3.059954584471325,-0.04072604846215189
-3.0645589086399365,-0.026507672070531285
-2.58479270773989,-0.018817087569313218
-2.6052548015364945,-0.060913984089833395
-2.605246325012974,-0.048714509877547885
-2.6049112366783524,-0.04023739307845653
-2.6031088475233264,-0.06666461361472531
-2.6012419170787395,-0.10841282106263717
-2.6017815508021416,-0.09672538506781025
-2.6069381818181854,-0.0877651446065637
-2.600506368497816,-0.12634196081286908
-2.6013191327500964,-0.08518870514882315
-2.602183254848753,-0.06355971145095918
-2.142733799533803,-0.19228300704558676
-2.1492155844155874,-0.10197506758495956
-2.1522728517488945,-0.11303294172851253
-2.1440552009660183,-0.10201281573747178
-2.1482098341909683,-0.13915729080841266
-2.148782508630613,-0.11131881524208986
-2.1492686668170564,-0.11167087648848528
-2.14667217394693,-0.1098038004655082
-2.1499115732975547,-0.12750609360336362
-2.1434510103664097,-0.12451669983438007
-2.137239487784945,-0.08963490862338874
-2.1462580249938767,-0.2034370686989979
-1.6917943836268472,-0.1804937699561855
-1.6919875285083303,-0.22306446022976312
-1.689933543861612,-0.2834101800050768
-1.6913967489464194,-0.16045332125240175
-1.6917391718229426,-0.23225541819966855
-1.6916827069578486,-0.23844063214138012
-1.6902797773654947,-0.1565216928495532
-1.6922142857142897,-0.18682568390964516
-1.6932755439757794,-0.20089481558190814
-1.697582342954162,-0.1953689200504507
-1.6895251577690633,-0.2888421417421565
-1.6929386386295677,-0.17495775305765826
-1.6915603560356065,-0.22651538725926557
-1.6999978419206936,-0.1637465541503318
-1.237936200326621,-0.22499939779761546
-1.2381991988593957,-0.22958041229950754
-1.2412181320352933,-0.19879150333719875
-1.2391781580769647,-0.21686220398478562
-1.2364637084320018,-0.2121425148515197
-1.2388724570227485,-0.29373404869228636
-1.237170445253849,-0.23732559277289744
-1.2366575463371599,-0.1824487862650932
-1.2406538136785836,-0.20502855287911603
-1.2392573445971533,-0.20304540279238004
-1.2363658480394446,-0.2021375837827084
-1.2422708064121837,-0.22279940889839
-1.2407724191612908,-0.2049308800819689
-1.234549671108116,-0.24778147095260028
-0.7849525705661393,-0.16896554484605297
-0.7831981672394083,-0.18690902334893988
-0.7862696156757242,-0.17341657294964907
-0.784664486592545,-0.1644868431994848
-0.7902712583646185,-0.16750308142521053
-0.7864747474747508,-0.1595368527118317
-0.7812558087074253,-0.2024545152887236
-0.7852510070574615,-0.24223804519776526
-0.7897921127884576,-0.14549481022229327
-0.7839541393971251,-0.13368893762760226
-0.3267823726464155,-0.05056403739433191
-0.33171858940280236,-0.06555149526318593
-0.3285908197892501,-0.029756743962021437
-0.3275940652046636,-0.0575125404875958
-0.3351145269824552,-0.045495301688159184
-0.32928555072132,-0.017646807018179
-0.3275669558657154,-0.06503720044276395
-0.3318844171510061,-0.036592435030408765
-0.33038705401524604,-0.03257797395088069
-0.329793611793615,-0.03550246720257677
-0.3312766324010819,-0.037193545663448235
0.1267502172779412,0.0990122584883435
0.12645974900519844,0.09992262580750366
0.12062413921955535,0.07762190032071903
0.1225324675324657,0.114921769985322
0.12807534519913394,0.09042160373301966
0.12791298169637985,0.10643917922437884
0.12159284474702693,0.04911189617683398
0.11931984444569432,0.07933505568392873
0.12235493117236534,0.0992434722333686
0.12475879765395799,0.08607167518231784
0.6171872183198636,0.2142060863521691
0.6135156645047795,0.23281492107911395
0.6189090909090889,0.21305062753153114
0.6132749195040044,0.22769820544593977
0.6162036540087453,0.20857544973234887
0.6122328329724362,0.22276814940669976
0.6196499794588851,0.22375705157924908
0.6131533634904394,0.22904885683366638
0.6183692195654766,0.21358267061072644
0.6126490053245315,0.2057492774087888
1.0669234668018228,0.2739054001776793
1.0700634928916097,0.2885225563756695
1.0737194193241286,0.2466531438821189
1.0698840964388363,0.27906876700314087
1.0729972602739708,0.26155275280471235
1.0781852694328944,0.27900002317429506
1.070785561497322,0.2665492459492267
1.0721685061925998,0.32945556827140754
1.0709867275581526,0.2815036703477434
1.068224034138532,0.2671649382814212
1.5345327980402794,0.40986451365641297
1.5285123030989372,0.32749041681978985
1.5267608940646096,0.26079516273703396
1.5239435586038137,0.2553936491706703
1.5275956260720394,0.30063072120930956
1.5253336557059942,0.2819733317201105
1.5230826654453817,0.26063494466244364
1.5272093663911819,0.3301544846115483
1.5198924358084651,0.26042886023424683
1.5191007792207758,0.2443024838257557
1.9799063652396949,0.3079680507864706
1.9802677963747455,0.22859582277542545
1.9792418052976595,0.23911080945956487
1.978030192608015,0.2068484145390037
1.9836411274315193,0.19282925379395444
1.9818034041430235,0.19479412337140545
1.9800025340513112,0.22554281687042987
1.9818432810432765,0.20286183599424246
1.9768322838137433,0.21506845394295504
1.976335153482877,0.2251355503292196
2.4356407480989195,0.17063515162633136
2.4379052443944036,0.23543070668268262
2.437865957765459,0.13349132860551305
2.4322879752943423,0.1342943593712722
2.4408208409506376,0.13447968764359142
2.4414678708913193,0.16540782871662785
2.4356258794316425,0.15038044475798484
2.433077299697104,0.18761240034276616
2.440270439238177,0.2429074092655894
2.4433096631551523,0.12291543964592067
2.4359063381999357,0.15186102643152855
