x,theta
-5.242952947163874,-0.022311912485813323
-5.242364395702739,-0.05669836865929323
-5.24015465387959,-0.025092518549975296
-5.2420530230783875,-0.04058912826159111
-5.243025581446648,-0.057411405462038934
-5.244860218365741,-0.07143625529466902
-5.24579753774263,-0.04737380640072786
-5.24029483625686,-0.04122386268846201
-5.244881157475871,-0.02678579622946131
-5.24487988409901,-0.027630264904822566
-5.245858274809979,-0.040018193373313915
-5.246090117644296,-0.044212091811848264
-5.2463971825351665,-0.03370562716352343
-4.77660690444402,-0.05123722418632304
-4.777239452429173,-0.07680985364858883
-4.774921501801179,-0.049085587129066965
-4.780373831775699,-0.02803958187837985
-4.770488030048182,-0.029618798239466892
-4.779122953166894,-0.04115450812515964
-4.7788954237834345,-0.04936230113505391
-4.770331303160768,-0.04729610869674716
-4.779727339990657,-0.05241883292295513
-4.778338707041288,-0.05310722926707889
-4.77566281959415,-0.06580863306035867
-4.7793594262345405,-0.04990844192539989
-4.780511214323075,-0.05962269589245106
-4.77481963490261,-0.06399115179138049
-4.313611006143523,-0.0744435583751919
-4.313443361079768,-0.1055330152174403
-4.3087228670485365,-0.07307763573829296
-4.309242343897032,-0.049202829488294464
-4.31084815855557,-0.07500607591917441
-4.314667744038813,-0.06230136627240279
-4.307511907252354,-0.0549812226009081
-4.31009553808894,-0.06532337282865575
-4.312554944614544,-0.08234010633771471
-4.313409122611241,-0.010362817768847954
-4.313566339207026,-0.0632384873855345
-3.844750772818382,-0.14164472053692
-3.842846652679762,-0.10326457757101926
-3.844981835876558,-0.08344273176741956
-3.840705712973648,-0.07214352632970211
-3.8416986147238132,-0.06826849432310622
-3.8407095208216364,-0.07916089110592894
-3.83995302220497,-0.07120585167710547
-3.839457301817866,-0.06687117864806513
-3.842222553463546,-0.08024206429655867
-3.84627906976744,-0.07016884791621436
-3.839919539049412,-0.07583822091658243
-3.8409650189788684,-0.07784905246268847
-3.3751815240833922,-0.10753655728602962
-3.3786580271788287,-0.11042839821098704
-3.3769486463050367,-0.09082907601959311
-3.377933866361685,-0.10588827105540743
-3.3816150446086337,-0.08882946265643277
-3.3757980000363332,-0.0967141095304902
-3.3790566494268512,-0.05820669489154473
-3.376902015186913,-0.10553193771354374
-3.373445126835778,-0.09579049402351347
-3.374907473972894,-0.08038878851112008
-3.374981261565128,-0.09277725079299248
-2.909865654205606,-0.13343132428336757
-2.913145105755041,-0.12761145295236198
-2.907078689100476,-0.15467097831673016
-2.9093174185822503,-0.16815845018514186
-2.9094959382144987,-0.11086230823135046
-2.90738137037228,-0.10949666720901141
-2.908833764167825,-0.08216875735862228
-2.9074850061972426,-0.16199496905747468
-2.909787662481016,-0.09231143233977335
-2.907807126575901,-0.12442573386706401
-2.9074674456685172,-0.11690762789733466
-2.905190245297794,-0.14600490340282835
-2.438797028516653,-0.1573805141378275
-2.438162574975588,-0.1496039999697938
-2.447296311118434,-0.13332646760234934
-2.439311590132997,-0.11924207931225284
-2.4393443454321506,-0.09417917203494741
-2.440797299110135,-0.13285557280474825
-2.4479532898830345,-0.11659275302097716
-2.4338432119644398,-0.19018426655254683
-2.4364928518924094,-0.1780226996267138
-2.4435502781263447,-0.1549611706789824
-2.4375563381655687,-0.1702046833592894
-2.4389945214308706,-0.13419297394107588
-2.440553760153724,-0.16374175059575413
-1.9690537198038993,-0.20113332346585922
-1.9720292341716006,-0.18696663523231627
-1.9735059254263394,-0.1887170753911469
-1.9718225021306093,-0.1271868708592674
-1.974718672515733,-0.16312681734532486
-1.9742721417003526,-0.1933141822904152
-1.9741966672760083,-0.19808766149496604
