mean x,mean theta,99% confidence interval
-4.816152634654884,-0.0212882174097721,0.012952948369103554
-4.361004059922103,-0.027290933875054265,0.011716382637044288
-3.9074817563440956,-0.029951765348078363,0.011716382637044288
-3.451085905495272,-0.053346425153692985,0.01171638263704429
-2.9967941467869568,-0.05941258782744396,0.010777504503055507
-2.5406301201276458,-0.068908595208909,0.01171638263704429
-2.0872400972737997,-0.08737354773701683,0.011217582341551888
-1.6313947799339177,-0.09020725586213053,0.010777504503055507
-1.1763605007800133,-0.08053081205808968,0.010777504503055507
-0.7229233646368787,-0.05919373763570041,0.0107775045030555
-0.26529297591572465,-0.02773916613258558,0.010033310663564516
0.18818274218512332,-0.004096349428038411,0.011716382637044288
0.6425116584170493,0.025489904338169396,0.010385463202662384
1.0978338114985222,0.06445656090491027,0.01171638263704429
1.551664364110656,0.0812921048840336,0.010777504503055507
2.007108046608448,0.09094412256256267,0.01171638263704429
2.4686245806195593,0.08188361180293616,0.01228824577827918
