1008, 0.8185708834814818
1980, 0.44988442267051365
3028, 0.11340292142388271
3954, 0.10750821636224683
4982, 0.13830243291417185
6032, 0.12686741054606857
6944, 0.12115679516624817
8040, 0.01310629796255912
8956, 0.05004736718067337
9916, 0.020909257188230217
11060, 0.05050607779940847
11972, 0.049339599504673246
12920, 0.04848462439056178
13904, 0.047864291905608904
15252, 0.009158985203911387
16136, 0.028213096977729172
17052, 0.01176064733825065
17986, 0.027615229298314295
18768, 0.013859523614301861
20132, 0.027617083673009312
21146, 0.02425340302564298
21978, 0.024160816737265556
22842, 0.0276096520746044
23904, 0.027596561073664257
24788, 0.02757922265649264
26118, 0.017450786813504277
27060, 0.008192183166402885
28000, 0.008597228900678698
28956, 0.008975046035347756
