mean x,mean theta,99% confidence interval
-7.482323449350549,0.001625232863209573,0.005608791170775946
-6.5736990733885055,-0.005967761314245898,0.005551263586758665
-5.664096049643425,-0.019365568704505228,0.005551263586758667
-4.755036264847593,-0.02351105184475211,0.005495470576891412
-3.8459937561210866,-0.04228386924519649,0.005495470576891412
-2.93759267731476,-0.06559253406141226,0.005495470576891412
-2.028340903998941,-0.0685246100084291,0.005495470576891412
-1.1191106298042153,-0.04814666074045842,0.005551263586758663
-0.2104255861862306,-0.0087897762475846,0.005495470576891412
0.698896417385867,0.04139033278077523,0.005551263586758663
1.6079797026370328,0.06354115316464809,0.005495470576891412
2.5174071279334003,0.06943142104707731,0.005551263586758663
3.426138483053333,0.051713495789550416,0.005551263586758663
4.335334411267412,0.038569963477291185,0.0054954705768914085
