x,theta
-5.005355434840498,-0.008291926833250862
-5.009683496990815,-0.0036854922846079052
-5.007087368913232,-0.036656268490099064
-5.00987908672524,-0.01431547661000332
-5.013031606502278,-0.00863394819431429
-5.000348271446864,-0.0064187620177798
-5.01389174153136,-0.005269508086494179
-5.007616587459758,-0.014047145452216414
-5.009013094617301,-0.00869037145941709
-5.014948315452663,-0.018641682407521065
-4.555045715857517,-0.024099255937551023
-4.566260890151516,-0.027145952482238167
-4.559882856398616,-0.01097519297745242
-4.556430824723359,-0.012700891207968246
-4.557724854496269,-0.01246117622676568
-4.555953594210467,0.0006827816625787353
-4.56065878224706,-0.024574334043271806
-4.558551698301698,-0.04202546402872542
-4.559032981818182,-0.0048899737795102816
-4.560805944724491,-0.03191886045118042
-4.555177657192915,-0.02566274912644584
-4.559470221054114,-0.0562747431890156
-4.562545242833551,-0.0371164747510313
-4.55949328349012,-0.010200098429204996
-4.559769123061763,-0.02813325404818401
-4.098510549622297,-0.032370335285270446
-4.107188119242134,-0.04677442355896977
-4.102978543195936,-0.05070330636974396
-4.1056433966302786,-0.05211359071294752
-4.110720630703478,-0.04829058158559696
-4.103933514803489,-0.026297145451099402
-4.099854458041959,-0.04466559973997786
-4.102464216634428,-0.07817502898117157
-4.10035457111092,-0.019008128440496375
-4.106161370805851,-0.025595331927657172
-4.10415707306712,-0.08492728598704313
-4.102417698974947,-0.0014376963468907267
-4.101177847754656,-0.04553336172627498
-4.104516377597594,-0.022189093013244676
-3.6525180357794826,-0.014083809261653757
-3.6501853430609055,-0.022168775296768084
-3.651562724704674,-0.03128160044527517
-3.6495067148760345,-0.05011133250778843
-3.648987865272669,-0.030861164836369914
-3.651003307440222,-0.01721179374510773
-3.6508369625258004,-0.011446781743974732
-3.652315383877466,-0.05044977292433561
-3.6507113115891743,-0.04209761861295602
-3.6498385793704746,-0.007787987312303457
-3.654459675639895,-0.055484619541792846
-3.197257844301222,-0.04561840881058088
-3.2009909870226685,-0.028263706882036388
-3.196956842958825,-0.06668121206464739
-3.199035454545454,-0.036647725296515166
-3.198250921837302,-0.042838826189900425
-3.1967706106048652,-0.020144904598848656
-3.187508531190756,-0.04986765569294316
-3.1969584520224616,-0.06200868625452238
-3.1980903683676907,-0.028018570664166687
-3.192845580355063,-0.04337855161433812
-3.197575859025473,-0.045027757971157545
-3.2021185910700334,-0.05259308713760791
-2.7459524648749207,-0.04538064729545144
-2.7425578937982076,-0.07696814270457653
-2.744013679326345,-0.04084791098157181
-2.7402894140342418,-0.04392848598887911
-2.7421342867931657,-0.0535569710441699
-2.7402267180814537,-0.03315755461149905
-2.7419936645213188,-0.06549168556461438
-2.7427351200372416,-0.1128547963668638
-2.7428391805377714,-0.09738474898154248
-2.741747474747475,-0.04867532105302019
-2.734483798971742,-0.06870172165081989
-2.742111396061785,-0.05753472887521527
-2.740425067620227,-0.04932842183400998
-2.286683501683502,-0.057855996279344346
-2.290558335221205,-0.06899785126418312
-2.2790973125060625,-0.13440263248452244
-2.2866155984824355,-0.08247839551587899
-2.2886575757575756,-0.03138376136328458
-2.2911432464892845,-0.06658021205970233
-2.2719922997356625,-0.09141364993725043
-2.288251274560349,-0.05177186260862521
-1.8318067831860187,-0.08160792180858589
-1.8304904652750698,-0.06650573796751935
-1.835947552447553,-0.06121747299853242
-1.8317827426810478,-0.045121446155752754
-1.8321539841444365,-0.059645786354021624
-1.8321002732899283,-0.08485937553542522
-1.835163143561147,-0.06931253153877392
-1.8322037973377352,-0.05050248258186052
-1.8346107756463712,-0.0998031678529272
-1.8350792623746366,-0.06994025482132371
-1.3798595955742081,-0.03290800801487204
-1.3815688589094999,-0.0365581656204923
-1.376154766994443,-0.027041037426468906
-1.3786741530262667,-0.05956108672525695
-1.3777789870238601,-0.02707730911264128
-1.374147454175152,-0.05126449041690506
-1.3781983860121048,-0.013311195661651398
-1.3802788288288295,-0.03890423080822547
-1.3797622485817418,-0.0723902584875682
-1.3776396396396395,-0.05084013307268265
-0.9225764966740579,-0.0779475585917273
-0.9249133992385273,-0.02868618172363302
-0.930958416806543,-0.023324163486265315
-0.9251274426508066,-0.03887181638572246
-0.9219555849555857,-0.03278789944122651
-0.9248599828067905,-0.053396485685324624
-0.9238056476589532,-0.026739477988161564
-0.9233917935835025,-0.06960542280617354
-0.46819820655535044,-0.01867535389558017
-0.4676840142219744,0.007864869628992244
-0.46927365177195796,0.0017250491425042647
-0.4743426277808605,-0.028221119862099187
-0.4702980430731009,-0.003175168338444001
-0.4701024386646356,-0.03894029401037402
-0.4690697466467952,-0.007939829316796487
-0.4690449883449881,-0.00948218434890391
-0.01367470413545649,-0.008930777457772043
-0.012879509379508455,0.012254214523225171
-0.016273469387755313,0.02840963138189312
-0.01541915237787027,-0.01892266181549629
-0.014663796023028716,-0.026280791036093154
-0.0217331042900426,-0.004361009450790876
-0.012446937559163535,0.030862924965654015
-0.016131693648814987,0.012065289814056523
-0.014639461709749148,-0.02309239825299847
-0.014982702977119091,0.02456316743330267
0.43863418980079216,-0.00753270964350139
0.44164223126271385,0.028414745428626098
0.4386674875968181,0.04595204636981265
0.4399461812126242,0.028312201308857254
0.44206398378691214,0.037092811115153834
0.4429900955076055,0.02606858554574054
0.44104558463860205,0.06721152981887357
0.44236829616923884,0.040118936203304756
0.4406533951989321,0.032955100729346265
0.43879588662288166,0.05686463948798348
0.4408976700336708,0.03816657163291248
0.8927658993367127,0.05706556916725769
0.8968278801684254,0.048917570499037444
0.8908116806991372,0.03611142736594419
0.8934360554699532,0.03464095839526471
0.8925397045702383,0.03826958162917671
1.353346725637404,0.08283720839267006
1.3505548811188817,0.11978753302950795
1.3537444600186888,0.0720706514775249
1.3494521007951863,0.05746651075975473
1.3463230526523386,0.05526107325358298
1.3481745276000592,0.10870113082987554
1.3459715836894983,0.07285838555505397
1.3500461168432794,0.07451629736668086
1.3468274962742168,0.07878056707173786
1.3538862121806066,0.0865941882186605
1.8014975763830259,0.06195377551669634
1.801695746567595,0.07310646480246619
1.8054480883602377,0.11859908691683252
1.8048411703239284,0.09365816381230063
1.8021146712168603,0.05200227101739441
1.8035040563719786,0.13609041187629578
1.8085406562790203,0.0929118250769243
1.7999859767891668,0.05527302649907573
1.8029610950494335,0.05899407195844941
1.8034768878537863,0.11796948082727687
1.803916627414036,0.07827332102559348
2.2647045522570797,0.07004133247226463
2.2676564498192935,0.14262833197638836
2.2679337766441967,0.07677668205978683
2.265369270166453,0.06357448330772808
2.26618599307421,0.06932169806190736
2.2636290991175847,0.04903791398025481
2.268234663710273,0.09922308856215456
2.2690299377335,0.08522132819931372
2.2680576302259774,0.06906040938113733
