mean x,mean theta,99% confidence interval
-5.027119836668777,-0.016798060855318726,0.012952948369103554
-4.571971261935995,-0.022800777320600887,0.011716382637044288
-4.118448958357987,-0.025461608793624982,0.011716382637044288
-3.6620531075091645,-0.04885626859923961,0.01171638263704429
-3.2077613488008483,-0.05492243127299058,0.010777504503055507
-2.7515973221415377,-0.06441843865445564,0.01171638263704429
-2.298207299287692,-0.08288339118256345,0.011217582341551888
-1.8423619819478094,-0.08571709930767717,0.010777504503055507
-1.3873277027939044,-0.07604065550363631,0.010777504503055507
-0.9338905666507702,-0.05470358108124703,0.0107775045030555
-0.4762601779296162,-0.0232490095781322,0.010033310663564516
-0.022784459828768307,0.0003938071264149629,0.011716382637044288
0.4315444564031576,0.029980060892622777,0.010385463202662384
0.8868666094846308,0.06894671745936365,0.01171638263704429
1.3406971620967645,0.08578226143848697,0.010777504503055507
1.7961408445945564,0.09543427911701602,0.01171638263704429
2.2576573786056677,0.08637376835738952,0.01228824577827918
