x,theta
-7.380795187736488,-0.02751185122137456
-7.379887954383464,-0.017180612768478598
-7.3726471023281945,-0.028792206469215875
-7.379286405631323,-0.027898227414193455
-7.381345887057287,-0.025358886891597487
-7.380579683474419,-0.03454634888283903
-5.5588776486671225,-0.03725065674736294
-5.56329698100407,-0.04660416299714076
-5.5544237279114315,-0.009748792971807418
-5.559880636429655,-0.039346720630957455
-5.555431717316326,-0.022802554536336617
-5.5650505836575865,-0.05853398156153755
-3.7392232097511426,-0.043542622808781184
-3.7363275709062513,-0.04469050811931896
-3.7417487468549475,-0.058066833167958354
-3.739628595817327,-0.07087215425571114
-3.7392216340621394,-0.12346607522770192
-3.7413840695889466,-0.06583039872244245
-2.378493274453074,-0.11809685886733412
-2.378865584415584,-0.15822708782805006
-2.377973939393939,-0.12675749831998573
-2.373917480035491,-0.14233877904686754
-2.373602827365597,-0.13093496277470762
-2.374913613172541,-0.08852136135237387
-2.194432063785863,-0.19239352968907375
-2.1943636363636365,-0.13546854945033604
-2.1932536778290217,-0.16294747702519818
-2.2033595032246467,-0.15503078222481181
-2.194986909626851,-0.163204527290713
-2.012796031379787,-0.15807717931605691
-2.0125164202513233,-0.1685608850766538
-2.01150424031069,-0.1884378245474918
-2.012267621203346,-0.1425502878692757
-2.0124306449503813,-0.1855714517185756
-1.9219867049946093,-0.18354780172785068
-1.9261595703874173,-0.163138673038272
-1.9217847403992652,-0.18936427083704088
-1.9225782518707195,-0.18117592992637532
-1.9217317938373795,-0.14709471113911787
-1.83337846672631,-0.14791092274344275
-1.8336317524081638,-0.19515944802997764
-1.8347033126414107,-0.17651430873930019
-1.8284727456104153,-0.1715430060511529
-1.8282476616858676,-0.19617684732220342
-1.7433192814601963,-0.18761944307536527
-1.7373484991020274,-0.17269994755766138
-1.7460382411508908,-0.1684805530614446
-1.7367010438348014,-0.1843068170987523
-1.7415843444227004,-0.12322187792146799
-1.6507714659441253,-0.148998637858897
-1.649805057618436,-0.1845983705560954
-1.6508164261708491,-0.23435989148966319
-1.6492922899884892,-0.1898234467210851
-1.6457158813382735,-0.1792347702657313
-1.6412902378520333,-0.12006400465048439
-1.5582803015792863,-0.1767377464564439
-1.5614552570716935,-0.157522684649267
-1.5615908581328983,-0.17927517128263126
-1.554547484707866,-0.18160963335090208
-1.554956264212809,-0.20590981003936526
-1.5568202056916258,-0.2032858044360477
-1.4652781929726704,-0.16413648505267675
-1.4661886381774634,-0.16350733953955965
-1.4677500579038782,-0.18390408665014846
-1.4691658552307918,-0.1814146062053732
-1.467333974886306,-0.1877784919695331
-1.378045854438816,-0.2056767698394606
-1.3699281393217237,-0.17618785032109052
-1.3746610315186234,-0.18943126439717717
-1.3777424866245398,-0.14112256807646473
-1.3756987826622367,-0.17392304297094707
-1.2860630311181769,-0.1636803158883957
-1.283078781358504,-0.1818306135964074
-1.2854522347910058,-0.1835471035188474
-1.283716663618073,-0.17205598680895173
-1.283784301296203,-0.16045129246176137
-1.2867505677602153,-0.17379966224190446
-1.1948945734881857,-0.15586259730052832
-1.1922754258029689,-0.17393054657708862
-1.1884579509379507,-0.18004518839911188
-1.1935707063176857,-0.16317792849477852
-1.1921949116457302,-0.15585256696335104
-1.1014454691845994,-0.18291661594193775
-1.1039646160291319,-0.19505982042196335
-1.103337222542419,-0.1904399846440601
-1.1018891700541094,-0.16348867730032346
-1.102212190746379,-0.143460536227622
-1.0100313734775732,-0.17402649415388538
-1.012724225955204,-0.15335205519324902
-1.011311059640996,-0.19117625357461776
-1.0146013513513517,-0.14205498159069951
-1.0125700623047509,-0.15241018273314033
-0.9230793080437328,-0.13661878613507916
-0.9222448623633832,-0.15087955254463759
-0.9284542102714964,-0.17549015855061345
-0.9202736810869248,-0.14605241573224825
-0.9227942184434277,-0.17521564907166098
-0.8331542752397973,-0.10293926353014005
-0.828822451943122,-0.13627406815020193
-0.8295220875110134,-0.15505195971381047
-0.8273691095540252,-0.11714778443697149
-0.8315867544220493,-0.14493559633343067
-0.8333345709133348,-0.10142487482687734
-0.7475410531085137,-0.1397211295030254
-0.7419299010615596,-0.12057883359040544
-0.7386547481181212,-0.12057664359148412
-0.7379574540503726,-0.11470205313671711
-0.744182083137071,-0.1086537996206447
-0.6478324164489053,-0.1321149895840723
-0.6498400650243819,-0.08598054699772995
-0.6482857901592063,-0.10027428215402345
-0.649114426296513,-0.1322544581418197
-0.6526903705516963,-0.11367990850383225
-0.5617037507946582,-0.1346128515976217
-0.5590105141174074,-0.09700649991258681
-0.5600733637223695,-0.10275355586113388
-0.5593751515151526,-0.09746600244760573
-0.5592539110159157,-0.1099037020943916
-0.38165932920290657,-0.08882361047305865
-0.3796883116883136,-0.11030747304027577
-0.3763639730639732,-0.05358527034096627
-0.378741903759554,-0.059817075852507395
-0.374770113636364,-0.019691830982837777
-0.36838618829242037,-0.03140778451530313
-0.1961619448167472,-0.018424843898212417
-0.19257331852480966,-0.02829167169240443
-0.19414619164619232,-0.04490238956916781
-0.19586603786718562,0.002786789296006509
-0.19486916431672602,-0.032822297320828975
-0.009768473181540312,0.02787468475310062
-0.011386900056464809,0.011471845870838493
-0.011232490053297345,0.023354598002650384
-0.01597500828454718,0.021129276939186425
-0.014171882334533915,-0.01202369538906578
-0.0159978348195205,0.02301315874029619
0.16832713343980288,0.05511675086562118
0.1657980681818184,0.03541707946692396
0.17165106951871678,0.1571095160731555
0.17200227478776947,0.04982695043792296
0.16513945278022907,0.07378139898267122
0.3493633353401551,0.09336792772495217
0.345671625344353,0.07918108081522424
0.3503752352851402,0.09188211659036938
0.3452809667673729,0.04378511867488322
0.34692740829484264,0.06886666665418373
0.35467666893198857,0.09165681045253637
0.4401762057038444,0.09371429147432409
0.43610881938280044,0.09671247738348931
0.4322070770281043,0.11161285200297155
0.43964972573894356,0.10527591983955387
0.43495997286295945,0.08795272090470085
0.5289951862477951,0.12750701051573254
0.5243427257044269,0.08381168036382913
0.5291819297267155,0.06950199398792822
0.5280070276601507,0.09108533329638635
0.5315875582535347,0.12092294926992198
0.5361889400921656,0.29672977027501024
0.5298713286713278,0.07595090862525677
0.6205284520493459,0.13856311393137166
0.6267607524654036,0.1469755869571503
0.6237813578826231,0.11277232922256641
0.6241217140177242,0.13657648914914344
0.6172242334439042,0.09684379849697411
0.6180148073859955,0.09834828919746808
0.6210200836134111,0.1087465912563721
0.7205305331712062,0.1332160381038996
0.7086391608391616,0.12378797338382408
0.7096853600944508,0.12371159744699001
0.7127073547589643,0.12802357143522758
0.7119520376175552,0.11911486855863318
0.8002331339712915,0.13139108737209115
0.8042532706322835,0.15547199191619998
0.8021087236478117,0.16121684760286792
0.7977214023644533,0.14475905995439686
0.7993136256009203,0.1624432433557379
0.8834609189408417,0.17586692763269207
0.8922918346260741,0.1580023151754646
0.8921671668499636,0.14925260353053127
0.8882968775904939,0.16793562254045957
0.8934892093741937,0.16190462866794553
0.8943081403244044,0.14402182160589105
0.9847505150282613,0.14980644424775713
0.9867575178167891,0.16886239979140516
0.9839715563901469,0.166717623849026
0.9789208283492811,0.17116356722454307
0.9891522537937223,0.17331128545870067
