x,theta
-17.107026026306155,0.0231467170525268
-17.110791635235937,0.030001223920477882
-17.10213922580455,0.019258420371875973
-17.106842332748556,0.004858579959105658
-17.114629345290663,0.026395766971448298
-13.849120409522593,0.005697110991648602
-13.854928703133181,0.006121002186397773
-13.862221945618277,0.016190718432629758
-13.850260189301396,0.004483859231972698
-13.851686277938045,0.005108035163608804
-10.606175329923722,0.0016418516798941685
-10.608823146012545,-0.001956579272960779
-10.603031024390239,-0.01991602217468147
-10.606456827705289,0.006921258033040445
-10.600686459326543,-0.007131554724444822
-10.605364678908368,-0.006215722922997546
-7.350239212007501,-0.011167919378492153
-7.348412265828256,-0.01147643780132901
-7.347154581299438,-0.01607845610885894
-7.345193885873026,-0.005394824824998645
-7.35375907652206,-0.014112728401564523
-4.094291884047348,-0.06744126169500242
-4.105690194874112,-0.047658546889670195
-4.0931569169207265,-0.05695627839813788
-4.1013496919098245,-0.049006489120177577
-4.095814918209422,-0.12936507466827663
-4.0917892009602905,-0.06687182614706932
-3.293774673069463,-0.1080166146197914
-3.2790414774790633,-0.07383913789878105
-3.2836171779836234,-0.07375894452819409
-3.2802365448993838,-0.08908103274905366
-3.2860095862152625,-0.09092239400628976
-2.466191456105429,-0.1245908289332105
-2.4769839934852502,-0.11536816785605408
-2.4736781404348482,-0.10656612403477217
-2.4659367251809936,-0.10113959943287276
-2.4695680224737764,-0.11772162513606199
-2.304384364820842,-0.13470393306660844
-2.3052856665552928,-0.1038920920515678
-2.3036056363702615,-0.12395126403691692
-2.3060062942564894,-0.1188132555101844
-2.304080861075938,-0.12077830827125435
-2.1417130135865063,-0.13331508240024226
-2.136346571450856,-0.12378501971087341
-2.1498872921702143,-0.11703502921771913
-2.146199973184134,-0.09054875599692958
-2.137830616497118,-0.12416865926932696
-1.9799595001934618,-0.10494205617325147
-1.9789412076656243,-0.11602481848613033
-1.9794468083505394,-0.13929729567936167
-1.9854446948394195,-0.11206984071768589
-1.989494559675168,-0.12147966647384734
-1.815555970431212,-0.12899073279088058
-1.8209336552068578,-0.11302553128096271
-1.8117933441734375,-0.11712249582801504
-1.8249186723904092,-0.09645790379024399
-1.8157638148990638,-0.12033126371600678
-1.8111027860480695,-0.10107837342558135
-1.650652902095187,-0.10700871730356654
-1.6495606300864378,-0.13067281143283904
-1.6480970564289545,-0.11652991320878625
-1.6565135559941113,-0.11605484599998195
-1.6614644869808568,-0.08133828591571102
-1.493177771426147,-0.0874115823471211
-1.4949078012737462,-0.0902120115377143
-1.4954536416136055,-0.10412288227199928
-1.4845618464811485,-0.12055739398414422
-1.4991247075414202,-0.1024448716917199
-1.4982576437435327,-0.11957746152792992
-1.3355025791161286,-0.10733438081227953
-1.3287846958369056,-0.12313466530583539
-1.3270209243769244,-0.11641111153767314
-1.32491879379616,-0.12587383178689882
-1.3316202889964075,-0.10384437187716022
-1.1621200007724504,-0.10765792504376082
-1.167427572453992,-0.0867673688779047
-1.1597393619004932,-0.10278594838259969
-1.1723774714730482,-0.07562505424898602
-1.1656215812233646,-0.11554631711681806
-1.0007213208695886,-0.05658138198505225
-0.9992953929539268,-0.046450772038439725
-1.013618886390841,-0.07813317555811428
-0.9956082738950064,-0.10365385233896207
-1.0084671613282368,-0.0946846145454916
-0.8408133797302688,-0.09411878437835264
-0.8438319052800183,-0.08628032206278746
-0.8438465887257188,-0.08190191924924495
-0.8380927743367699,-0.09960550064558338
-0.8402558630609736,-0.05780574217352363
-0.6771298157771563,-0.045326347443358284
-0.6766374414710423,-0.048545516158889024
-0.6934107807700206,-0.04891938141180918
-0.6844266673861378,-0.055851229756588294
-0.6819865166538086,-0.03694050924342296
-0.5124485835119593,-0.0385125333812566
-0.507935243122063,-0.038919108382594825
-0.5137714972257017,-0.04538197761603979
-0.5122994262088536,-0.04297869331840798
-0.5120671111083375,-0.045488986150117316
-0.3455003078624259,-0.009677536678460052
-0.3587736030267047,-0.01694865464014783
-0.3531018372597763,-0.020844376976113077
-0.3521516577135596,-0.03007318709765916
-0.3597210326007039,-0.026923307983109268
-0.1889299163040695,0.0031980579142556476
-0.1883256477211622,0.006213803582860278
-0.18452023228803222,-0.009061448292488894
-0.1928087205007824,-0.002310961636650566
-0.19311846549861228,-0.0016926507407335478
-0.025180462408814296,0.014143858258528041
-0.02890548396025699,0.00017860577346029416
-0.024576791802013206,0.007062203698132707
-0.023339569849926235,0.014036883352320118
-0.02714445176883697,0.018106139886471917
0.13362165152842653,0.028487866832695108
0.13857152881080778,0.029126182341338236
0.13370399165204858,0.03725383959298334
0.1338464584645876,0.03561201216030607
0.14155119443225803,0.03875328852678428
0.2982456790387393,0.05115962116534867
0.2948895385197178,0.03422236054110894
0.29874136832596376,0.046636308620022104
0.29972093984548587,0.0447994532229512
0.29835152746044385,0.049192414533560935
0.4624266686435897,0.05082265445331302
0.45471750699927316,0.057217719371104314
0.46231713234163285,0.07096173337479783
0.45925701408807795,0.06408549305623934
0.45745351816957447,0.048483582235096634
0.6252172694140784,0.07549521021023242
0.6233700091268937,0.0954975888210865
0.623222725665999,0.06149815201696618
0.6251087228550404,0.07478480764511297
0.6239681050656686,0.09190876350727195
0.7891117573641092,0.08030332246057892
0.7862940719859508,0.1056789299554135
0.7892718669142809,0.09369281470704638
0.7880319165919313,0.08360784269801691
0.7892085886210197,0.08099858117237879
0.9436810647030529,0.09727351249208205
0.9482870489231262,0.07354687274765204
0.9466927687693094,0.054264471003306225
0.942753148826826,0.09977898284872477
0.9486372423544354,0.09467267510140265
1.1083763347894722,0.07539212111420346
1.1108488300307942,0.12485622495810245
1.116977354956799,0.11811194738701092
1.1093075971944104,0.10988698100765082
1.1043608765559987,0.08501620558683598
1.2732962567136172,0.11510588333401706
1.274085615004889,0.11241456992206489
1.2781669781334437,0.14136413987032648
1.2722286037469128,0.09698738400878115
1.2687176306964305,0.1030703321131956
1.440993660341648,0.10632834120850276
1.43380901549474,0.1309488954416469
1.4402667310910884,0.09174229283467228
1.4240246078843917,0.09856929945326631
1.435957343469544,0.14160301947993892
1.6034019698923585,0.1261776424983776
1.5978798179179872,0.142731405220891
1.5968515068809663,0.195531503748142
1.5969973103490462,0.10672456440593647
1.5985835652623022,0.12209685517677005
1.7598350784008503,0.14676933432190964
1.7651613272737177,0.11326139567935556
1.764728240556091,0.1305220131461271
1.7632250705160142,0.12015760983883683
1.7609432948556896,0.11104275939868757
1.92778421517821,0.1416753877110135
1.9197089341059155,0.12899149890154527
1.9273532295112423,0.1451445217217262
1.9251653630280419,0.11689691539975033
1.925942938570904,0.13706862316771784
2.0925041587591746,0.10702891262512981
2.082396653810645,0.11376586467764138
2.0872387388365206,0.1326492259714589
2.0900840686998956,0.1036354784490161
2.08954236071924,0.12682077541765824
2.2599784519276582,0.12074415208138878
2.2468830735709417,0.14916207962943595
2.2528331397599763,0.1374542304675892
2.2527935689968794,0.12335247826935136
2.2500443047076506,0.10252655133724753
2.4189938482095674,0.09042101843117023
2.411979254275305,0.12238376931902284
2.4213189035590204,0.12785115607359088
2.4129941688907692,0.13191628860787796
2.416330441501485,0.09949165659858106
3.2249566575135997,0.08749438607447568
3.2182837698758586,0.09093110486407463
3.233875998214112,0.08922856212098362
3.2330696468306592,0.07775437477328695
3.2179246816020095,0.0723127429135364
4.039003758156055,0.07405243383940374
4.042623316205567,0.07208836190814472
4.043349169087125,0.06370214025954568
4.0399907714797925,0.07172652173997851
4.038956726839744,0.07521414753707001
4.04026510200214,0.06559477324890817
5.673342267488615,0.02961463385883123
5.668881676472487,0.03700755398446298
5.660087991136661,0.03279987486719227
5.6684698736057575,0.06137103687147061
5.672070317205482,0.013142826059703738
5.674506536105911,0.025245287879730238
