mean x,mean theta,99% confidence interval
-4.663966858726317,-0.07893987915617762,0.012952948369103554
-4.2102686738076365,-0.07371000800606937,0.011716382637044288
-3.754394292955225,-0.07510945631528357,0.012288245778279182
-3.297690405094255,-0.08487467677019225,0.011716382637044288
-2.8441967855349413,-0.07046973289256828,0.012288245778279182
-2.3873544344762037,-0.08138940088681505,0.012288245778279182
-1.9328209289998997,-0.11312773480806666,0.012952948369103552
-1.4769093665766193,-0.08437341310182901,0.011716382637044288
-1.0218839068697503,-0.08337688409161349,0.011217582341551891
-0.5684265836449213,-0.05141904186231932,0.014687262912731862
-0.11071628215821205,-0.012472861960517334,0.01228824577827918
0.34507826067138325,0.04175537889779688,0.01228824577827918
0.8001267207061854,0.06035291058246974,0.012288245778279194
1.2539502143216255,0.09425941789894554,0.012288245778279194
1.7087879436823514,0.09901181125381175,0.012288245778279194
2.1646595030869022,0.09509729207652555,0.01038546320266237
2.6230647316507048,0.07517473298443157,0.011716382637044276
