mean x,mean theta,99% confidence interval
-7.328686169599145,0.0011007088453987516,0.005551263586758665
-6.873061446770659,-0.0006788484191134674,0.0057294241365420375
-6.41886317684336,-0.0070540013240401045,0.005608791170775946
-5.964031010871527,-0.007163197694424857,0.005551263586758665
-5.509306032725073,-0.011686370761912021,0.005729424136542038
-5.054743246410543,-0.01219408054600922,0.005495470576891412
-4.598298490301188,-0.02302148417299,0.005551263586758663
-4.145156807446563,-0.03483157608853007,0.005668145111195871
-3.689591816850098,-0.049275184238453056,0.005551263586758663
-3.23502134759531,-0.06315708795732801,0.005551263586758663
-2.780098975434033,-0.082070273162981,0.00555126358675867
-2.3252505113226194,-0.09907595855187906,0.005608791170775951
-1.8697522450511768,-0.10586629133042111,0.005495470576891412
-1.4159807260218835,-0.10301257506855506,0.005495470576891412
-0.9607971277436236,-0.07367502177670111,0.00555126358675867
-0.5056384614939872,-0.041699755516279795,0.005495470576891412
-0.0518789108715436,-0.0007819482210955307,0.005551263586758665
0.4030026938668527,0.03565533680930546,0.005551263586758663
0.8571590915164377,0.06951175316257509,0.005608791170775951
1.3119173192534477,0.09720481886522996,0.00555126358675867
1.7662849505768627,0.10393288156352365,0.00555126358675867
2.2206600574630855,0.10169822538776441,0.005495470576891412
2.675452190822917,0.08873942429009897,0.00555126358675867
3.130828674272615,0.06987378465120797,0.00555126358675867
3.584950118019846,0.05915458383920763,0.005608791170775944
4.039828940957871,0.04669943591973518,0.005551263586758663
4.494275003544996,0.03604910271940743,0.005495470576891412
