x,theta
-5.038835109717867,-0.014425830840784748
-5.040073173546724,-0.011508778873046355
-5.040810519692035,-0.019420682993347427
-5.038843624620805,-0.006863705019752642
-5.038047286047286,-0.02528956061932064
-5.037622955991377,-0.012876550948166976
-5.03834804600887,-0.01632929823385454
-5.038475302774798,-0.004468128848896358
-5.040864798307377,0.0004214888331672828
-4.5844706462752844,-0.002678083768715034
-4.58504709965295,-0.031899041653599136
-4.58809282700422,-0.03364798474963138
-4.579857757076317,-0.011346260323139568
-4.582987418655097,0.024465115253390568
-4.589014299332698,-0.0144982282692252
-4.584665362035225,-0.022120636368373692
-4.585775458031529,-0.06261955077790193
-4.582996124031007,-0.019454720634456857
-4.13089917086171,-0.0370330002111503
-4.129586372196542,-0.03931605458330756
-4.128935880544575,-0.027249094075879166
-4.128563904384954,-0.03305943757004948
-4.131967268100856,-0.018637780154965755
-4.1303003480537726,-0.017837286117496243
-4.132430589260157,-0.05360518667116554
-4.130384229665073,-0.04031966191321246
-4.128440215874197,-0.03730990032870207
-4.128960704038072,-0.035821335487076
-4.128147394223595,-0.009282542653946235
-4.131836764792638,-0.0292184797990529
-3.675669090909091,-0.045638883847869405
-3.6779414503184538,-0.04978831062215394
-3.6780632675200695,-0.03165398922890139
-3.6742503317850037,-0.03634193289340515
-3.6771082077296438,-0.03194319429302439
-3.67677342351303,-0.046518891469861545
-3.67594241405186,-0.027130734020883063
-3.680001024994087,-0.045722237962659396
-3.67736644452827,-0.04204000423751553
-3.678870096108397,-0.043316617349690834
-3.6761226215644816,-0.04210231208400028
-3.21667892420199,-0.0546167822234338
-3.220411346287301,-0.08066928261834971
-3.2182879806810534,-0.06484368916261296
-3.2195203242617265,-0.0638804907533499
-3.2207531229913657,-0.07128890394079046
-3.2216868625613317,-0.09030449206762281
-3.2233838442158294,-0.06344069440900979
-3.221429473245391,-0.0565399438954135
-3.22303078127038,-0.04368721430468692
-3.218806805958473,-0.060516345609456845
-3.218206201961304,-0.058719157850753545
-3.219111346605102,-0.04379580806245564
-3.221482039426257,-0.06988401462180338
-2.76711587657176,-0.05228443856211551
-2.766568726480491,-0.07757965485973162
-2.7672843266322706,-0.07376722756870335
-2.76435836038961,-0.09097008720360678
-2.762763833992095,-0.08758077649557272
-2.7640936277783075,-0.07259581212188015
-2.7635149031296566,-0.08523324332422733
-2.7659131538852217,-0.08204949059139355
-2.769633170108579,-0.07355515200609641
-2.7692210008092806,-0.098849829988636
-2.7686102415666105,-0.08320239353526948
-2.768496306818182,-0.10368106054698623
-2.7638079531779893,-0.0829381792166104
-2.762149610389612,-0.08693632795564366
-2.3114902874902876,-0.10293223237212068
-2.3087269024254775,-0.09997116143782114
-2.310003001024741,-0.062056547101770665
-2.3089086496028246,-0.07843863259651895
-2.312284679463962,-0.10249172867611889
-2.3107835566440955,-0.07599403335153054
-2.3107941641209315,-0.10629344896290682
-2.3126988842143765,-0.09064721388525476
-2.3084369063772052,-0.10340327739489696
-2.3122934117405722,-0.1027251231982691
-1.8526923309635472,-0.1429862340383361
-1.8562238878143136,-0.11834160195475896
-1.8567897727272737,-0.12465812818152155
-1.855717092617641,-0.08877701811838312
-1.8592341220423412,-0.1140192134268454
-1.8570230473751597,-0.09196625782123258
-1.8571616161616171,-0.12652454737954244
-1.8587133150505506,-0.09866911058900829
-1.8539109637143978,-0.09236246648686075
-1.8586861995242254,-0.12990202237357318
-1.3972078960677707,-0.07935479223087194
-1.4008078410950762,-0.09622839835582808
-1.401543695170154,-0.10313640700858273
-1.4015841835567564,-0.12581670533764355
-1.4019214015151522,-0.1278744308632036
-1.39911270152639,-0.11535589957303127
-1.400873374084868,-0.11335157209781355
-1.3997448846470755,-0.06299149575278395
-1.4036594929922652,-0.10357774599917868
-1.4012641711229954,-0.10830368165449422
-1.400058454984025,-0.10066207001317795
-0.9487157017780715,-0.06822492435394856
-0.9435972466727707,-0.08246444356243576
-0.9459220186944088,-0.07076683584434651
-0.9447305982288091,-0.07807588684847455
-0.9481282555282564,-0.09510312345936445
-0.9455877297565832,-0.06644423295834456
